ID_ProGres,Enqueteur,start,end,_GPS_latitude,_GPS_longitude,montant_transfert,taille_menage,age_chef,satisfaction,zone
329-24-1001,Mbarka Oumar,2026-02-19 08:09:00,2026-02-19 08:37:00,16.64592,-7.35804,3600,7,43,Satisfait,Nema
329-24-1002,Oumar ag Ozarif,2026-02-19 08:18:00,2026-02-19 08:46:00,16.53976,-7.39165,3600,7,40,Peu satisfait,Nema
329-24-1003,Fatma Badroudin,2026-02-19 08:27:00,2026-02-19 08:55:00,16.61967,-7.24014,3600,4,22,Pas satisfait,Nema
329-24-1004,Oyya Ag sidi,2026-02-19 08:36:00,2026-02-19 09:04:00,16.69131,-7.24132,3600,7,28,Tres satisfait,Nema
329-24-1005,Mbarka Oumar,2026-02-19 08:45:00,2026-02-19 08:59:00,16.56814,-7.21667,3600,3,53,Satisfait,Nema
329-24-1006,Oumar ag Ozarif,2026-02-19 08:54:00,2026-02-19 09:22:00,16.58661,-7.35609,3600,5,65,Peu satisfait,Nema
329-24-1007,Fatma Badroudin,2026-02-19 09:03:00,2026-02-19 09:12:00,16.5063,-7.26656,3600,8,23,Pas satisfait,Nema
329-24-1008,Oyya Ag sidi,2026-02-19 09:12:00,2026-02-19 09:40:00,,,3600,4,49,Tres satisfait,Nema
329-24-1009,Mbarka Oumar,2026-02-19 09:21:00,2026-02-19 09:49:00,16.53319,-7.2203,3600,8,43,Satisfait,Nema
329-24-1010,Oumar ag Ozarif,2026-02-19 09:30:00,2026-02-19 09:44:00,16.53343,-7.37581,3600,9,44,Peu satisfait,Nema
329-24-1011,Fatma Badroudin,2026-02-19 09:39:00,2026-02-19 10:07:00,16.5214,-7.29311,3600,5,43,Pas satisfait,Nema
329-24-1012,Oyya Ag sidi,2026-02-19 09:48:00,2026-02-19 10:16:00,16.62763,-7.23156,3600,7,57,Tres satisfait,Nema
329-24-001,Mbarka Oumar,2026-02-19 09:57:00,2026-02-19 10:25:00,16.54251,-7.38667,3600,3,58,Satisfait,Nema
329-24-1014,Oumar ag Ozarif,2026-02-19 10:06:00,2026-02-19 10:15:00,16.53995,-7.22026,3600,7,24,Peu satisfait,Nema
329-24-1015,Fatma Badroudin,2026-02-19 10:15:00,2026-02-19 10:29:00,16.67889,-7.3181,3600,2,29,Pas satisfait,Nema
329-24-1016,Oyya Ag sidi,2026-02-19 10:24:00,2026-02-19 10:52:00,,,3600,2,32,Tres satisfait,Nema
329-24-1017,Mbarka Oumar,2026-02-19 10:33:00,2026-02-19 11:01:00,16.64296,-7.24843,360,2,27,Satisfait,Nema
329-24-1018,Oumar ag Ozarif,2026-02-19 10:42:00,2026-02-19 11:10:00,16.67453,-7.33934,3600,3,47,Peu satisfait,Nema
329-24-1019,Fatma Badroudin,2026-02-19 10:51:00,2026-02-19 11:19:00,16.66901,-7.29359,3600,99,66,Pas satisfait,Nema
329-24-1020,Oyya Ag sidi,2026-02-19 11:00:00,2026-02-19 11:14:00,16.65786,-7.36655,3600,3,38,Tres satisfait,Nema
329-24-1021,Mbarka Oumar,2026-02-19 11:09:00,2026-02-19 11:18:00,16.5092,-7.37874,3600,3,69,Satisfait,Nema
